full,lats,lngs
"771 Capital Cir Sw, Tallahassee, FL  32305",30.3974704742,-84.3268737793
"3470 Thomasville Rd, Tallahassee, FL  32309",30.5071563721,-84.2503204346
"3500 Apalachee Pkwy, Tallahassee, FL  32311",30.4285049438,-84.216003418
"3090 Walden Rd, Tallahassee, FL  32317",30.4830665588,-84.1617889404
"509 N West Shore Blvd, Tampa, FL  33609",27.9493541718,-82.5238800049
"215 N Dale Mabry Hwy, Tampa, FL  33609",27.9469566345,-82.5051345825
"6502 N Us-301, Tampa, FL  33610",28.0054149628,-82.356628418
"922 E Fowler Ave, Tampa, FL  33612",28.054977417,-82.4496307373
"2571 W C 48, Bushnell, FL 33513",28.6681041718,-82.1467132568
"4740 E State Road 46, Sanford, FL 32771",28.7869188935,-81.2006016076
"3565 Cheney Hwy, Titusville, FL 32780",28.552324295,-80.8483657837
"40084 Us Highway 19 N, Tarpon Springs, FL 34689",28.1365966797,-82.7408218384
"8582 Navarre Parkway, Navarre, FL 32566",30.4016248137,-86.8637801707
"700 W Boynton Beach Blvd, Boynton Beach, FL 33426",26.5285015106,-80.0776748657
"1105 Eglin Pkwy, Shalimar, FL 32579",30.4397888184,-86.5821762085
"6041 SE Abshier Blvd, Belleview, FL 34420",29.0583610535,-82.0492553711
"28100 Quails Nest Ln, Bonita Springs, FL 34135",26.3308200985,-81.751960516
"8825 20th St, Vero Beach, FL 32966",27.6387138367,-80.5088806152
"1495 S 6th St, Macclenny, FL 32063",30.2625808716,-82.1223297119
"44215 Highway 27, Davenport, FL 33897",28.2371559143,-81.6518173218
"30481 Cortez Blvd, Brooksville, FL 34602",28.5236549377,-82.2340087891
"414 Deltona Blvd, Deltona, FL 32725",28.8730680943,-81.2798219919
"5421 Village Market, Wesley Chapel, FL 33544",28.234941,-82.351814
"100270 Overseas Hwy, Key Largo, FL 33037-2581",25.100818634,-80.4345245361
"1515 51st Ave E, Ellenton, FL 34222",27.5276432037,-82.5132141113
"6635 Us Highway 129, Live Oak, FL 32060",30.3288088739,-82.9640715569
"334 Beach Blvd, Jacksonville Beach, FL 32250",30.2879695892,-81.3926315308
"1168 Malabar Rd SE, Palm Bay, FL 32907",27.9984936118,-80.6325043738
"4000 Davie Blvd, Plantation, FL 33317-7425",26.1044188589,-80.2016899735
"4465 King St, Cocoa, FL 32926",28.3591632843,-80.7930450439
"29537 State Road 52, San Antonio, FL 33576",28.3249506354,-82.3286502063
"1201 Townsgate Ct, Plant City, FL 33563",28.0261974335,-82.1499023438
"603 67th St Cir E, Bradenton, FL 34208",27.4932518005,-82.4773712158
"7954 NE 8th Way, Wildwood, FL 34785",28.872384131,-82.0896808058
"370 Commercial Ct, Venice, FL 34292",27.1078681946,-82.3852996826
"1700 S Highway 29, Cantonment, FL 32533",30.5777359009,-87.2939605713
"3920 Ulmerton Rd, Clearwater, FL 33762",27.8933067322,-82.6872558594
"1167 Estero Blvd, Fort Myers Beach, FL 33931",26.452386,-81.953262
"2502 S Highway 77, Lynn Haven, FL 32444",30.220289,-85.649986
"3665 N Atlantic Ave, Cocoa Beach, FL 32931",28.3523788452,-80.6083908081
"3852 N Roosevelt Blvd, Key West, FL 33040",24.5697359741,-81.7525137216
"586 Hugh Adams Rd, Defuniak Springs, FL 32435",30.6953669339,-86.1219327897
"4900 SW 148th Ave, Davie, FL 33331",26.058453843,-80.3459458798
"4660 W New Haven Ave, Melbourne, FL 32904",28.0794906616,-80.7046051025
"26550 Jones Loop Rd, Punta Gorda, FL 33950",26.8949852139,-82.0079592615
"1680 Main St, Chipley, FL 32428",30.7526187897,-85.5510559082
"145 SE Bandit St, Madison, FL 32340-5916",30.3989238739,-83.3574142456
"2395 Mayport Rd, Atlantic Beach, FL 32233",30.352199,-81.413101
"15979 Nw Us Highway 441, Alachua, FL 32615",29.8006658256,-82.5081342459
"2587 W International Speedway Blvd, Daytona Beach, FL 32114",29.1769811511,-81.0816349089
"11244 E Dr Martin Luther King Jr Blvd, Seffner, FL 33584",27.9819355011,-82.3088912964
"2126 Jelane Dr, Valrico, FL 33594",27.938741371,-82.2510686517
"3275 Cobb Pkwy Nw, Acworth, GA  30101",34.0338821411,-84.677482605
"3521 Baker Rd Nw, Acworth, GA  30101",34.0758934021,-84.653175354
"1862 Mars Hill Rd Nw, Acworth, GA  30101",34.0005813539,-84.7038817406
"1133 Highway 92, Acworth, GA  30102",34.0821304321,-84.6551818848
"5685 Bells Ferry Rd, Acworth, GA  30102",34.0876541138,-84.5774383545
"5350 Glade Rd Se, Acworth, GA  30102",34.0843547881,-84.6764038503
"1702 E Oglethorpe Blvd, Albany, GA  31705",31.5703010559,-84.106880188
"2501 N Slappey Blvd, Albany, GA  31707",31.611915,-84.176521
"722 N Westover Blvd, Albany, GA  31707",31.6167049408,-84.2223205566
"4752 Atlanta Highway, Alpharetta, GA  30004",34.1587914526,-84.2325438559
"Atlanta Hwy, Alpharetta, GA  30004",34.1376686096,-84.2480621338
"571 S Main St, Alpharetta, GA  30004",34.0662599355,-84.3105451763
"1605 Mansell Rd, Alpharetta, GA  30004",34.0397338867,-84.3185958862
"12370 Arnold Mill Rd, Alpharetta, GA  30004",34.0828590393,-84.3583145142
"1515 Mcfarland Rd, Alpharetta, GA  30005",34.1110305786,-84.2195892334
"3319 Old Milton Pkwy, Alpharetta, GA  30005",34.068332,-84.267951
"2940 Mansell Rd, Alpharetta, GA  30022",34.0379066467,-84.2978668213
"2850 Holcomb Bridge Rd, Alpharetta, GA  30022",33.9911689758,-84.2784805298
"10792 Jones Bridge Rd, Alpharetta, GA  30022",34.0455284119,-84.2246704102
"461 Calhoun Dr, Athens, GA  30601",33.9865837097,-83.344833374
"1255 S Milledge Ave, Athens, GA  30605",33.9388618469,-83.3858947754
"1310 Oconee St, Athens, GA  30605",33.9476699829,-83.3584365845
"2034 S Milledge Ave, Athens, GA  30605",33.9231466502,-83.3785171062
"8000 Macon Hwy, Athens, GA  30606",33.8896903992,-83.4125595093
"1710 Old Epps Bridge Rd, Athens, GA  30606",33.9191628993,-83.4284323454
"167 Washington St SW, Atlanta, GA  30303",33.7492845207,-84.3890990317
"100 Piedmont Ave SE, Atlanta, GA  30303",33.7513270229,-84.3854478747
"3016 Piedmont Rd Ne, Atlanta, GA  30305",33.8372383118,-84.3686294556
"3061 Piedmont Rd Ne, Atlanta, GA  30305",33.8386161625,-84.3687491119
"1371 Lee St Sw, Atlanta, GA  30310",33.7176856995,-84.4255065918
"1701 Northside Dr Nw, Atlanta, GA  30318",33.8013954163,-84.4063110352
"1700 Howell Mill Rd Nw, Atlanta, GA  30318",33.8006591797,-84.4163589478
"4065 Peachtree Rd Ne, Atlanta, GA  30319",33.861240387,-84.3390045166
"2581 Piedmont Rd NE, Atlanta, GA  30324",33.8249397278,-84.3668746948
"2264 Cheshire Bridge Rd Ne, Atlanta, GA  30324",33.8170394897,-84.3525390625
"5565 Northside Dr Nw, Atlanta, GA  30327",33.9057579041,-84.4310531616
"230 Mount Vernon Hwy Nw, Atlanta, GA  30328",33.9181141555,-84.3946760148
"2886 Clairmont Rd Ne, Atlanta, GA  30329",33.8412284851,-84.3141860962
"2812 Buford Hwy Ne, Atlanta, GA  30329",33.8310317993,-84.3438949585
"4120 Fulton Industrial Blvd Sw, Atlanta, GA  30336",33.7682723999,-84.5215606689
"6035 Bakers Ferry Rd Sw, Atlanta, GA  30336",33.7292327881,-84.5729141235
"4255 Shirley Dr Sw, Atlanta, GA  30336",33.7645149231,-84.5288314819
"4346 Fulton Industrial Blvd SW, Atlanta, GA  30336",33.7642250061,-84.5309143066
"4852 Old National Highway, Atlanta, GA  30337",33.6242788285,-84.4742008299
"4852 Old National Hwy, Atlanta, GA  30337",33.6242788285,-84.4742008299
"1425 Virginia Ave, Atlanta, GA  30337",33.6595153809,-84.4357299805
"2230 Cotillion Dr, Atlanta, GA  30338",33.9211463928,-84.297454834
"4532 Chamblee Dunwoody Rd, Atlanta, GA  30338",33.923664093,-84.3151855469
"2754 Cobb Pkwy, Atlanta, GA  30339",33.8858887553,-84.4718492031
"5600 Buford Hwy NE, Atlanta, GA  30340",33.9056625366,-84.2735137939
"5598 Buford Hwy. Ne, Atlanta, GA  30340",33.9048606902,-84.2718871683
"2824 Chamblee Tucker Rd, Atlanta, GA  30341",33.8797645569,-84.2736053467
"3180 Chamblee Tucker Road, Atlanta, GA  30341",33.8819861412,-84.2616773397
"Chamblee Tucker Rd, Atlanta, GA  30341",33.8863792419,-84.3076629639
"5335 Roswell Rd Ne, Atlanta, GA  30342",33.9007072449,-84.3794174194
"3735 Roswell Rd Ne, Atlanta, GA  30342",33.8570823669,-84.3814544678
"1227 Virginia Avenue, Atlanta, GA  30344",33.6593513489,-84.429359436
"1674 Washington Avenue, Atlanta, GA  30344",33.6751823425,-84.4435195923
"1674 Washington Road, Atlanta, GA  30344",33.6751823425,-84.4435195923
"1227 Virginia Ave, Atlanta, GA  30344",33.6593513489,-84.429359436
"4995 Old National Hwy, Atlanta, GA  30349",33.619102478,-84.4735107422
"250 Northridge Road, Atlanta, GA  30350",33.9819984436,-84.3491363525
"250 Northridge Rd, Atlanta, GA  30350",33.9819984436,-84.3491363525
"3845 Browns Mill Road, Atlanta, GA  30354",33.6529221386,-84.3934468925
"3845 Browns Mill Rd Se, Atlanta, GA  30354",33.6529221386,-84.3934468925
"3171 Amwiler Rd, Atlanta, GA  30360",33.9301948547,-84.2637939453
"4375 Tilly Mill Road, Atlanta, GA  30360",33.9222963899,-84.2810898274
"3171 Amwiler Road, Atlanta, GA  30360",33.9301948547,-84.2637939453
"4375 Tilly Mill Rd, Atlanta, GA  30360",33.9222963899,-84.2810898274
"3134 Peach Orchard Rd, Augusta, GA  30906",33.4094314575,-82.0265960693
"3411 Mike Padgett Hwy, Augusta, GA  30906",33.399015516,-82.0056881011
"3408 Mike Padgett Hwy, Augusta, GA  30906",33.3992576599,-82.0051574707
"1642 Gordon Hwy, Augusta, GA  30906",33.4386177063,-82.0194396973
"1629 Gordon Hwy, Augusta, GA  30906",33.4391849488,-82.0175119489
"3164 Deans Bridge Rd, Augusta, GA  30906",33.4218559265,-82.0617675781
"3190 Deans Bridge Rd, Augusta, GA  30906",33.421626538,-82.0630940795
"3042 Washington Rd, Augusta, GA  30907",33.5125045776,-82.0490875244
"599 Nw Frontage Rd, Augusta, GA  30907",33.4973983765,-82.0868682861
"438 S Belair Rd, Augusta, GA  30907",33.4843292236,-82.1317977905
"440 S Belair Rd, Augusta, GA  30907",33.4839363098,-82.1316375732
"2974 Riverwatch Pkwy, Augusta, GA  30907",33.5231293738,-82.034676075
"4077 Belair Rd, Augusta, GA  30909",33.4712487459,-82.1280323714
"1202 George C Wilson Dr, Augusta, GA  30909",33.48254776,-82.0877227783
"3417 Wrightsboro Rd, Augusta, GA  30909",33.4686203003,-82.0771789551
"2951 Washington Rd, Augusta, GA  30909",33.5125350952,-82.0407104492
"2139 Gordon Hwy, Augusta, GA  30909",33.4503631592,-82.0786743164
"2057 Gordon Hwy, Augusta, GA  30909",33.4519500732,-82.063041687
"3002 Alabama Ave S, Bremen, GA  30110",33.6901397705,-85.1514205933
"1980 Alabama Ave S, Bremen, GA  30110",33.6906708777,-85.149769485
"4941 New Jesup Hwy, Brunswick, GA  31520",31.2163105011,-81.5188827515
"Highway 17, Brunswick, GA  31523",31.1388492584,-81.5774536133
"125 Palisade Dr, Brunswick, GA  31523",31.1391849518,-81.5808868408
"5335 New Jesup Hwy, Brunswick, GA  31523",31.2240772247,-81.5265197754
"3035 Us Highway 17 S, Brunswick, GA  31523",31.1399631947,-81.5809167176
"110 Venture Drive, Brunswick, GA  31525",31.2454929352,-81.5053939819
"4115 Buford Drive, Buford, GA  30518",34.0924682617,-84.0004806519
"1570 Buford Hwy, Buford, GA  30518",34.0976676941,-84.0123748779
"4770 Friendship Rd, Buford, GA  30518",34.1493415833,-83.9729690552
"3310 Hamilton Mill Rd, Buford, GA  30519",34.0944519043,-83.93724823
"3270 Buford Dr, Buford, GA  30519",34.067905426,-83.9875793457
"3829 Buford Dr, Buford, GA  30519",34.0863265991,-83.9910583496
"241 Georgia 49, Byron, GA  31008",32.658069,-83.747344
"Georgia 49, Byron, GA  31008",32.654457,-83.752754
"12021 Watson Blvd, Byron, GA  31008",32.6125907898,-83.7415542603
"301 Ga Highway 49 N, Byron, GA  31008",32.6607627869,-83.743309021
"Watson Blvd, Byron, GA  31008",32.6125183105,-83.7427215576
"199 Pool St, Byron, GA  31008",32.6756901294,-83.7154904008
"1605 Ball Ground Highway, Canton, GA  30114",34.2587184906,-84.4638200104
"Ball Ground Hwy, Canton, GA  30114",34.252910614,-84.469291687
"1849 Marietta Hwy Ste 1269, Canton, GA  30114",34.2218284607,-84.5039596558
"1494 Riverstone Pkwy, Canton, GA  30114",34.2524877191,-84.4702056795
"1625 Ball Ground Hwy, Canton, GA  30114",34.2588729858,-84.4642868042
"8018 Cumming Hwy, Canton, GA  30115",34.2536430359,-84.3594741821
"6122 Hickory Flat Hwy, Canton, GA  30115",34.1758117676,-84.4195785522
"1201 Bankhead Hwy, Carrollton, GA  30116",33.596027,-85.03601
"1114 N Park St, Carrollton, GA  30117",33.5987167358,-85.0795822144
"1124 N Park St, Carrollton, GA  30117",33.5995635986,-85.080581665
"821 S Park St, Carrollton, GA  30117",33.5660133362,-85.0773239136
"2 W Main St, Cartersville, GA  30120",34.1648025513,-84.7955551147
"805 West Ave, Cartersville, GA  30120",34.158191,-84.815589
"1355 Joe Frank Harris Pkwy Se, Cartersville, GA  30120",34.206111908,-84.818572998
"300 N Dixie Ave, Cartersville, GA  30120",34.1769294739,-84.7866973877
"2310 Highway 411 Ne, Cartersville, GA  30121",34.2408972234,-84.7754336894
"10 Carson Loop Nw, Cartersville, GA  30121",34.2736930847,-84.813949585
"5630 Hwy 20, Cartersville, GA  30121",34.2046165466,-84.7635879517
"5970 Peachtree Industrial Blvd, Chamblee, GA  30341",33.9010810852,-84.2991485596
"5071 Peachtree Industrial Blvd, Chamblee, GA  30341",33.8875427246,-84.313583374
"4966 Buford Hwy, Chamblee, GA  30341",33.8868255615,-84.2882537842
"2824 Chamblee Tucker Rd, Chamblee, GA  30341",33.8863792419,-84.3076629639
"3281 Buckeye Rd, Chamblee, GA  30341",33.8851127625,-84.2573852539
"2727 Manchester Expy, Columbus, GA  31904",32.5070075989,-84.9523773193
"1646 Bradley Park Dr, Columbus, GA  31904",32.5320472717,-84.9660110474
"3455 Macon Rd, Columbus, GA  31907",32.4841041565,-84.9383010864
"6390 Flat Rock Rd, Columbus, GA  31907",32.5364646912,-84.8694763184
"5701 Milgen Rd, Columbus, GA  31907",32.5226821899,-84.8886947632
"4005 Buena Vista Rd, Columbus, GA  31907",32.4635543823,-84.926322937
"6755 Veterans Pkwy, Columbus, GA  31909",32.5430717468,-84.9545211792
"6751 Veterans Pkwy, Columbus, GA  31909",32.5425415039,-84.954864502
"1174 West Ave Sw, Conyers, GA  30012",33.665996,-84.026199
"1820 Hwy 138 Ne, Conyers, GA  30012",33.670604,-83.986022
"2260 Sigman Rd Sw, Conyers, GA  30012",33.682888031,-84.0615539551
"2021 Iris Dr Se, Conyers, GA  30013",33.6346244812,-83.9788894653
"1420 Highway 138 Se, Conyers, GA  30013",33.6527598649,-84.0065141022
"2102 Salem Rd Se, Conyers, GA  30013",33.6344430596,-83.9781383425
"1886 Highway 20 Se, Conyers, GA  30013",33.637683,-84.013832
"1100 Nortec Dr SE, Conyers, GA  30013",33.5931930542,-84.0140457153
"1294 Iris Dr Sw, Conyers, GA  30094",33.6639175415,-84.0303726196
"1007 Arc Way Ave., Cordele, GA  31010",31.9580593109,-83.7491836548
"2006 E 16th Ave, Cordele, GA  31015",31.9595275819,-83.7495470792
"3402 Frontage Rd, Cordele, GA  31015",31.9333992004,-83.7500915527
"1292 Level Grove Rd, Cornelia, GA  30531",34.5115966797,-83.5887298584
"1458 Level Grove Rd, Cornelia, GA  30531",34.5115966797,-83.5887298584
"599 Historic 441 Hwy, Cornelia, GA  30531",34.5439291745,-83.5450708866
"10690 By Pass Rd, Covington, GA  30014",33.5709545016,-83.8482248783
"10106 Alcovy Rd, Covington, GA  30014",33.616859436,-83.8424377441
"8239 Highway 278 Ne, Covington, GA  30014",33.6004257202,-83.8342590332
"6137 Highway 278 Nw, Covington, GA  30014",33.6053974181,-83.8736542314
"12985 Brown Bridge Rd, Covington, GA  30016",33.5784586519,-83.965979889
"6026 Bethelview Rd, Cumming, GA  30040",34.1630783081,-84.1763305664
"531 Canton Rd, Cumming, GA  30040",34.22215271,-84.1539230347
"903 Buford Rd, Cumming, GA  30041",34.1766624451,-84.135925293
"2837 Keith Bridge Rd, Cumming, GA  30041",34.2537994385,-84.0874862671
"310 Brannon Rd, Cumming, GA  30041",34.1552581787,-84.1731109619
"1800 Winder Hwy, Dacula, GA  30019",33.9865074158,-83.923538208
"725 Harbins Rd, Dacula, GA  30019",33.9744224548,-83.8923568726
"505 Nathan Dean Boulevard, Dallas, GA  30157",33.9083314687,-84.8244906217
"20 Hosiery Mill Rd, Dallas, GA  30157",33.9564857483,-84.7874908447
"4082 Marietta Hwy, Dallas, GA  30157",33.9334907532,-84.7245330811
"247 Villa Rica Hwy, Dallas, GA  30157",33.9057324082,-84.8260154575
"Walnut Ave, Dalton, GA  30720",34.7615013123,-84.9691696167
"246 Connector 3 Sw, Dalton, GA  30720",34.6882159263,-85.0002960116
"1912 Chattanooga Rd, Dalton, GA  30720",34.7954978943,-84.9967727661
"1527 W Walnut Ave, Dalton, GA  30720",34.7602348328,-85.0000686646
"1531 Walnut Avenue, Dalton, GA  30720",34.7608488053,-84.9994537979
"1515 Cleveland Hwy, Dalton, GA  30721",34.8012466431,-84.9618911743
"2505 E Walnut Ave, Dalton, GA  30721",34.7642021179,-84.9304122925
"62 N 400 Center Ln, Dawsonville, GA  30534",34.3665352464,-84.0360928327
"6636 Highway 53 E, Dawsonville, GA  30534",34.3615275621,-84.0345324576
"2850 E College Ave, Decatur, GA  30030",33.7753019482,-84.2732892931
"4788 Memorial Dr, Decatur, GA  30032",33.785987854,-84.2349777222
"766 Dekalb Industrial Way, Decatur, GA  30033",33.7987823486,-84.2806396484
"4300 Covington Hwy, Decatur, GA  30035",33.7507286072,-84.2275619507
"2548 Wesley Chapel Rd, Decatur, GA  30035",33.7139779329,-84.2163211852
"5467 Buford Hwy Ne, Doraville, GA  30340",33.9014053345,-84.2756536603
"3685 Northcrest Rd, Doraville, GA  30340",33.8987884521,-84.2515411377
"6133 Fairburn Rd, Douglasville, GA  30134",33.7509870529,-84.7326504439
"7100 Concourse Pkwy, Douglasville, GA  30134",33.7296943665,-84.7610473633
"9419 Highway 5, Douglasville, GA  30135",33.7268333435,-84.7635040283
"2812 Chapel Hill Rd, Douglasville, GA  30135",33.7291374207,-84.7367324829
"2181 US Highway 441, Dublin, GA  31021",32.6019836962,-82.9736115038
"2122 Veterans Blvd, Dublin, GA  31021",32.5417366028,-82.9567337036
"1922 Pleasant Hill Rd, Duluth, GA  30096",33.9533215016,-84.1306775808
"2320 Satellite Blvd Ste 100, Duluth, GA  30096",33.9764404297,-84.0930404663
"3785 Buford Hwy, Duluth, GA  30096",33.9815330505,-84.1577911377
"3335 Steve Reynolds Blvd, Duluth, GA  30096",33.9536514282,-84.1415557861
"1825 Pleasant Hill Rd, Duluth, GA  30096",33.9497528076,-84.1289749146
"1933 Pleasant Hill Rd, Duluth, GA  30096",33.9531517029,-84.1312561035
"3531 Peachtree Industrial Blvd, Duluth, GA  30096",34.0029830933,-84.1704025269
"1100 Old Peachtree Rd, Duluth, GA  30097",34.0077285767,-84.1196517944
"9650 Medlock Bridge Rd, Duluth, GA  30097",34.0164413452,-84.1911010742
"4532 Chamblee Dunwoody Rd, Dunwoody, GA  30338",33.923664093,-84.3151855469
"2230 Cotillion Dr, Dunwoody, GA  30338",33.9211463928,-84.297454834
"201 Fairview Rd, Ellenwood, GA  30294",33.6188087463,-84.241859436
"Forest Pkwy, Ellenwood, GA  30294",33.6106681824,-84.3153381348
"Anvil Block Rd, Ellenwood, GA  30294",33.6326217651,-84.305770874
"915 Evander Holyfield Hwy, Fairburn, GA  30213",33.5478761047,-84.4639708847
"7800 Senoia Rd, Fairburn, GA  30213",33.5443267822,-84.5766372681
"760 Glynn St S, Fayetteville, GA  30214",33.4343528748,-84.4560623169
"965 W Lanier Ave, Fayetteville, GA  30214",33.4491271973,-84.4847412109
"700 Glynn St N, Fayetteville, GA  30214",33.4614448547,-84.4518432617
"7415 Spout Springs Rd, Flowery Branch, GA  30542",34.1078071594,-83.8730316162
"5536 Mcever Rd., Flowery Branch, GA  30542",34.1989707947,-83.924911499
"109 Forest Pkwy, Forest Park, GA  30297",33.6183509827,-84.3867034912
"4561 Old Dixie Hwy, Forest Park, GA  30297",33.6300120503,-84.3859092146
"5043 Frontage Rd Ste I75, Forest Park, GA  30297",33.617088,-84.396537
"5150 Georgia Highway 85, Forest Park, GA  30297",33.6210594177,-84.3740615845
"444 Tift College Dr, Forsyth, GA  31029",33.0351753235,-83.9235916138
"286 N Lee St, Forsyth, GA  31029",33.0414886475,-83.9389266968
"410 Battlefield Pkwy, Fort Oglethorpe, GA  30742",34.9539222717,-85.2495346069
"909 Battlefield Pkwy, Fort Oglethorpe, GA  30742",34.9535024911,-85.2492700517
"509 Dawsonville Hwy, Gainesville, GA  30501",34.2947235107,-83.8513717651
"628 Jesse Jewell Pkwy Se, Gainesville, GA  30501",34.3000801653,-83.8195285946
"2880 Browns Bridge Rd, Gainesville, GA  30504",34.2792816162,-83.8747024536
"3175 Frontage Rd, Gainesville, GA  30504",34.2274246216,-83.8651733398
"2507 Pentee Dr, Gainesville, GA  30507",34.2822418213,-83.7999572754
"1240 Candler Rd, Gainesville, GA  30507",34.263420105,-83.8171234131
"1702 N Expressway, Griffin, GA  30223",33.2807350159,-84.2913513184
"1408 Georgia Highway 16 W, Griffin, GA  30223",33.2473111153,-84.2881185561
"1410 Georgia Highway 16 W, Griffin, GA  30223",33.247005,-84.289382
"1710 Zebulon Rd, Griffin, GA  30224",33.1941757202,-84.283164978
"11152 Tara Blvd, Hampton, GA  30228",33.449973464,-84.3253234774
"1064 Bear Creek Blvd, Hampton, GA  30228",33.3819656372,-84.3014602661
"239 Interstate South Dr, Jasper, GA  30143",34.3980865479,-84.4147033691
"Hwy 53 W, Jasper, GA  30143",34.4796905518,-84.5812225342
"2100 Highway 53 W, Jasper, GA  30143",34.4650091976,-84.466797933
"Hwy 53 W, Jasper, GA  30143",34.4796905518,-84.5812225342
"56 Travelers Rest Rd, Jasper, GA  30143",34.4660377502,-84.4599227905
"6294 Old Dixie Hwy, Jonesboro, GA  30236",33.5829772949,-84.3763122559
"6350 Tara Blvd, Jonesboro, GA  30236",33.5810508728,-84.3754425049
"7728 Tara Blvd, Jonesboro, GA  30236",33.5430736095,-84.3675944209
"8765 Tara Blvd, Jonesboro, GA  30236",33.5159416199,-84.36353302
"4284 Bells Ferry Rd Nw, Kennesaw, GA  30144",34.0546226501,-84.5555877686
"500 Roberts Ct Nw, Kennesaw, GA  30144",34.0103645325,-84.5652618408
"1470 George Busbee Pkwy Nw, Kennesaw, GA  30144",34.0562286377,-84.5925827026
"3340 Frey Rd Nw, Kennesaw, GA  30144",34.0340690613,-84.5800628662
"3275 Cobb Pkwy Nw, Kennesaw, GA  30152",34.0338821411,-84.677482605
"2165 Cobb Pkwy Nw, Kennesaw, GA  30152",34.0070394427,-84.6058798581
"Boone Avenue Extension, Kingsland, GA  31548",30.7901191711,-81.6572799683
"1201 E King Ave, Kingsland, GA  31548",30.7927036285,-81.6634140015
"1075 Boone Avenue Ext E, Kingsland, GA  31548",30.7921256125,-81.6717584431
"2585 Whitesville Rd, Lagrange, GA  30240",32.9862518311,-85.029045105
"109 Greenville St, Lagrange, GA  30240",33.0395237356,-85.0308798999
"Lafayette Pkwy, Lagrange, GA  30241",33.0419883728,-84.9700698853
"4560 Hamilton Rd, Lagrange, GA  30241",32.960483551,-84.9523544312
"13625 Jones St, Lavonia, GA  30553",34.4443817139,-83.1176300049
"30 Smith Rd, Lavonia, GA  30553",34.4474380463,-83.1228522956
"1100 Old Peachtree Rd Ne, Lawrenceville, GA  30043",34.0361729264,-83.987807706
"932 Buford Dr, Lawrenceville, GA  30043",33.9884338379,-83.9851074219
"1205 Lakes Pkwy, Lawrenceville, GA  30043",33.9638442993,-84.0376968384
"4748 Sugarloaf Pkwy, Lawrenceville, GA  30044",33.9514392614,-84.0504225343
"926 Pleasant Hill Rd, Lawrenceville, GA  30044",33.9256973267,-84.1137161255
"4135 Sugarloaf Pkwy, Lawrenceville, GA  30044",33.9394721985,-84.0342102051
"1255 Scenic Hwy, Lawrenceville, GA  30045",33.9000396729,-84.0062026978
"437 W Pike St, Lawrenceville, GA  30045",33.9589195251,-84.0011062622
"785 Duluth Hwy, Lawrenceville, GA  30045",33.9669652283,-84.0151320398
"660 Buford Dr, Lawrenceville, GA  30045",33.9774971008,-83.9862136841
"675 Buford Dr, Lawrenceville, GA  30045",33.9771080017,-83.983757019
"219 Grayson Hwy, Lawrenceville, GA  30045",33.9142494202,-83.9707183838
"758 Duluth Hwy, Lawrenceville, GA  30046",33.966749981,-84.0145392716
"3915 Lawrenceville Hwy Nw, Lilburn, GA  30047",33.9065284729,-84.1118392944
"4138 Stone Mountain Hwy, Lilburn, GA  30047",33.8356399536,-84.0726470947
"484 Indian Trail Lilburn Rd Nw, Lilburn, GA  30047",33.89661026,-84.1398849487
"613 Thornton Rd, Lithia Springs, GA  30122",33.788028717,-84.6217727661
"908 Thornton Rd, Lithia Springs, GA  30122",33.7796211243,-84.6064910889
"1371 Lee Rd, Lithia Springs, GA  30122",33.7668664008,-84.6514452249
"2918 Woodrow Dr, Lithonia, GA  30038",33.6991958618,-84.1175613403
"8060 Rockbridge Rd, Lithonia, GA  30058",33.7753295898,-84.0746078491
"2842 Panola Rd, Lithonia, GA  30058",33.7044448853,-84.1691513062
"2255 Panola Rd, Lithonia, GA  30088",33.7238769531,-84.1678695679
"2725 Loganville Hwy, Loganville, GA  30052",33.8805612177,-83.937356025
"4752 Atlanta Hwy, Loganville, GA  30052",33.8342514038,-83.8847198486
"1640 Walnut Ave, Loganville, GA  30052",33.7421607971,-83.8541564941
"840 Riverside Dr, Macon, GA  31201",32.8423881531,-83.6295547485
"2644 Riverside Dr, Macon, GA  31204",32.8743124008,-83.6634944379
"4731 Chambers Rd, Macon, GA  31206",32.8087005615,-83.723274231
"4285 Pio Nono Ave, Macon, GA  31206",32.7865829468,-83.6683959961
"4094 Pio Nono Ave, Macon, GA  31206",32.7909660339,-83.6682052612
"3907 Arkwright Rd, Macon, GA  31210",32.9059638977,-83.6864929199
"6220 Zebulon Rd, Macon, GA  31210",32.8794631958,-83.7657775879
"5146 Mercer University Dr, Macon, GA  31210",32.8321246058,-83.7296464294
"6230 Zebulon Rd, Macon, GA  31210",32.8794021606,-83.7663955688
"3620 Riverside Dr, Macon, GA  31210",32.8991508484,-83.6848068237
"4515 Hartley Bridge Rd, Macon, GA  31216",32.7449264526,-83.7202606201
"4320 Hartley Bridge Rd, Macon, GA  31216",32.7422637939,-83.7136306763
"4475 Ocmulgee East Blvd, Macon, GA  31217",32.8055610657,-83.5695266724
"1941 Eatonton Rd, Madison, GA  30650",33.5592575073,-83.4770736694
"2050 Eatonton Rd, Madison, GA  30650",33.5519676208,-83.4730377197
"1398 Austell Rd Se, Marietta, GA  30008",33.9193305969,-84.5487365723
"1410 Dura Dr Sw, Marietta, GA  30008",33.9185371399,-84.5819702148
"3635 Austell Rd Sw, Marietta, GA  30008",33.8649291992,-84.594039917
"920 Cobb Pkwy S, Marietta, GA  30060",33.9295959473,-84.509765625
